City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Terrasini,IT,84.22,clear sky,38.146,13.0844,Florio Park Hotel
3,Baturaja,ID,75.2,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
8,Bengkulu,ID,75.29,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
9,Bani,DO,86.86,few clouds,18.2833,-70.3333,Hospedaje Henriquez
15,Ribeira Grande,PT,75.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
16,Kavieng,PG,80.83,light rain,-2.5744,150.7967,Nusa Island Retreat
17,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
18,Sur,OM,82.51,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
19,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
20,Faanui,PF,79.39,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
24,Sao Jose Da Coroa Grande,BR,76.12,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
32,Half Moon Bay,US,81.82,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
37,Cururupu,BR,81.21,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
54,Lugovoy,KZ,75.04,clear sky,42.9472,72.7644,Ж.Д Вокзал Луговая
55,Ponta Do Sol,PT,75.7,clear sky,32.6667,-17.1,Hotel do Campo
56,San Carlos,VE,82.9,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
65,Itarema,BR,80.51,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
67,Hithadhoo,MV,82.18,overcast clouds,-0.6,73.0833,Scoop Guest House
68,Kudahuvadhoo,MV,81.84,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
80,Shenjiamen,CN,79.79,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
86,Gobo,JP,77.79,broken clouds,33.8833,135.15,Kotobuki Inn
89,Riyadh,SA,88.97,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
93,Besikduzu,TR,75.09,clear sky,41.052,39.2284,Belek Palas Hotel
94,Port-Gentil,GA,75.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
97,Ranong,TH,78.08,few clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
98,Bousso,TD,75.97,overcast clouds,10.4795,16.7117,
106,Kapaa,US,80.19,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
108,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
109,Merauke,ID,76.23,overcast clouds,-8.4667,140.3333,
110,Hilo,US,86.29,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
117,Itoman,JP,82.42,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
123,Alofi,NU,76.6,light rain,-19.0595,-169.9187,Taloa Heights
