City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,57.63,74,0,13.47,clear sky
1,Cape Town,ZA,-33.9258,18.4232,60.89,81,75,19.57,broken clouds
2,Terrasini,IT,38.146,13.0844,84.22,62,0,16.11,clear sky
3,Baturaja,ID,-4.1333,104.1667,75.2,91,100,2.17,overcast clouds
4,Mataura,NZ,-46.1927,168.8643,47.48,98,100,3.13,overcast clouds
5,Hofn,IS,64.2539,-15.2082,51.44,93,100,1.74,overcast clouds
6,Namibe,AO,-15.1961,12.1522,61.75,85,11,8.1,few clouds
7,Saskylakh,RU,71.9167,114.0833,61.2,82,100,6.11,light rain
8,Bengkulu,ID,-3.8004,102.2655,75.29,90,87,5.14,overcast clouds
9,Bani,DO,18.2833,-70.3333,86.86,52,12,14.25,few clouds
10,Punta Arenas,CL,-53.15,-70.9167,44.71,81,75,28.77,light intensity shower rain
11,Hokitika,NZ,-42.7167,170.9667,50.59,75,100,19.53,overcast clouds
12,Pendleton,US,45.6721,-118.7886,101.61,28,0,11.99,clear sky
13,Vaini,TO,-21.2,-175.2,73.56,100,20,6.91,few clouds
14,Yellowknife,CA,62.456,-114.3525,64.92,68,75,10.36,broken clouds
15,Ribeira Grande,PT,38.5167,-28.7,75.6,69,75,5.75,broken clouds
16,Kavieng,PG,-2.5744,150.7967,80.83,79,57,17.34,light rain
17,Puerto Ayora,EC,-0.7393,-90.3518,78.76,93,77,8.99,broken clouds
18,Sur,OM,22.5667,59.5289,82.51,72,100,16.26,overcast clouds
19,Georgetown,MY,5.4112,100.3354,80.89,85,20,4.61,few clouds
20,Faanui,PF,-16.4833,-151.75,79.39,71,1,24.65,light rain
21,Kiama,AU,-34.6833,150.8667,51.01,86,73,1.99,broken clouds
22,Isangel,VU,-19.55,169.2667,74.34,89,100,11.18,overcast clouds
23,Camacha,PT,33.0833,-16.3333,69.22,83,75,14.97,broken clouds
24,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.12,82,18,5.68,few clouds
25,Ushuaia,AR,-54.8,-68.3,46.06,53,75,17.27,broken clouds
26,Soyo,AO,-6.1349,12.3689,70.97,84,28,6.82,scattered clouds
27,Barrow,US,71.2906,-156.7887,33.4,99,100,12.33,light snow
28,Port Elizabeth,ZA,-33.918,25.5701,61.09,94,0,4.61,clear sky
29,Hobart,AU,-42.8794,147.3294,42.66,84,75,11.5,broken clouds
30,Rundu,NA,-17.9333,19.7667,61.11,29,7,6.26,clear sky
31,Vanavara,RU,60.34,102.2797,61.47,97,97,4.47,light rain
32,Half Moon Bay,US,37.4636,-122.4286,81.82,71,75,16.11,mist
33,Berlevag,NO,70.8578,29.0864,50.0,93,75,13.8,light intensity drizzle
34,Thompson,CA,55.7435,-97.8558,73.56,38,20,8.05,few clouds
35,Alingsas,SE,57.9303,12.5335,62.31,69,42,1.63,scattered clouds
36,Jardim,BR,-21.4803,-56.1381,92.91,18,4,8.99,clear sky
37,Cururupu,BR,-1.8283,-44.8683,81.21,74,48,4.72,scattered clouds
38,Tiksi,RU,71.6872,128.8694,51.6,91,91,5.28,overcast clouds
39,Dikson,RU,73.5069,80.5464,43.39,100,100,15.93,overcast clouds
40,Kupang,ID,-10.1667,123.5833,73.69,75,43,12.48,scattered clouds
41,Portland,US,45.5234,-122.6762,94.98,49,16,3.0,few clouds
42,Leeuwarden,NL,53.2014,5.8086,61.11,73,100,10.36,overcast clouds
43,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,52.39,100,75,4.47,fog
44,Rikitea,PF,-23.1203,-134.9692,73.45,73,91,21.36,overcast clouds
45,Cherskiy,RU,68.75,161.3,53.74,50,7,4.0,clear sky
46,Tuatapere,NZ,-46.1333,167.6833,40.05,91,91,2.77,overcast clouds
47,Saint-Philippe,RE,-21.3585,55.7679,67.21,84,4,8.86,clear sky
48,East London,ZA,-33.0153,27.9116,69.85,57,15,16.93,few clouds
49,Omsk,RU,55.0,73.4,62.49,100,75,11.18,light intensity shower rain
50,Grindavik,IS,63.8424,-22.4338,48.67,81,75,10.36,broken clouds
51,Cherdyn,RU,60.403,56.4787,57.58,76,13,3.58,few clouds
52,Kushiro,JP,42.975,144.3747,64.29,93,99,1.97,overcast clouds
53,Hammerfest,NO,70.6634,23.6821,48.65,93,75,10.36,broken clouds
54,Lugovoy,KZ,42.9472,72.7644,75.04,36,10,6.31,clear sky
